CourseID,CIPChoiceID,Publicly,StatePublicly,CourseDept,CourseNo,CourseTitle,CourseDescription,ForCredit,MinCredits,MaxCredits,CEU,CreditType,CourseLevel,CoursePrereqs,EnrollProcedure,Admitted,AdmissInternet,RegInternet,RegistrarURL,CompleteFL
37,43.01,T,T,CJC,1000,Introduction To Corrections,A comprehensive view of the historical and philosophical treatment programs and developments in the field of juvenile and adult corrections. Emphasis is on understanding the offender in the correctional system; an examination of the correctional client$ the noninstitutional correctional systems$ agencies and recidivism. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
38,43.01,T,T,CJC,1162,Parole And Probation,The history$ current practices and the consideration of philosophical concepts in the areas of probation and parole. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
40,43.01,T,T,CJE,2600,Criminal Investigation,Fundamentals of criminal investigation$ theory and practice$ including crime scene search; preservation$ collection and transportation of physical evidence interviewing$ interrogating; statement taking; and case preparation$ with investigation of specific offenses; relationship with the police science laboratory. (3 hr. lecture),T,3,3,0,S,U,None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
41,43.01,T,T,CJJ,2002,Juvenile Delinquency,An analysis of the theories and causes of juvenile delinquent behavior. The role of the three components of the juvenile justice system (Police$ Court$ Corrections) and their impact on prevention and rehabilitation. (3 hr. lecture),T,3,3,0,S,U,None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
42,43.01,T,T,CJL,1100,Criminal Law,Historical background and foundations of American criminal law$ including United States Constitutional requirements$ Federal and State court organization and jurisdiction$ criminal law basics$ Florida statutes$ rules of evidence and procedure. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
43,43.01,T,T,CJL,2062,Constitutional Law And Legal Procedure Or Evidence,An examination of the United States and Florida Constitutions$ with emphasis on leading cases dealing with arrest$ search and seizure$ confessions and the rules of evidence. (3 hr. lecture),T,3,3,0,S,U,None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
44,43.01,T,T,CJL,3564,Judicial Policy Making,An analysis of the components$ policies$ and procedures of the court structure of the United States and various components. An analysis of local$ state$ and federal courts in the Criminal Justice System. Prerequisite: CCJ1010. (3 hr. Lecture),T,3,3,0,S,U,Prerequisite: CCJ1010,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
45,42.01,T,T,CLP,1006,Psychology Of Personal Effectiveness,This is an applied psychology course which emphasizes understanding of the principles of effective human behavior and applying these to the areas of personal awareness$ interpersonal relations$ communication$ and work/career development. Students will learn strategies to apply these principles in both their personal and professional lives. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
46,42.01,T,T,CLP,2140,Abnormal Psychology,This course examines the major categories of mental disorders and their diagnostic criteria and treatments. Students will analyze the impact of mental disorders on individuals$ families$ and society and the impact of cultural factors$ public attitudes$ community resources$ ethical issues$ and legislation on the diagnosis and treatment of mental disorders. Prerequisite: PSY2012. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: PSY2012; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
47,11.01,T,T,COP,1332,Introduction To Visual Basic Programming,This course introduces computer science and non-major students to fundamental programming skills using the Visual Basic Integrated Development environment. Students will learn program design$ the fundamentals of event driven object-oriented programming$ arrays$ validation of user input$ and how to create menu driven programs and multiple form applications. Pre/Co-requisite: CGS1060. Knowledge of high school algebra is recommended. Laboratory fee. (3 hr. lecture; 2 hr. lab),T,4,4,0,S,U,Prerequisite: CGS1060. Knowledge of high school algebra is recommended. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
50,11.01,T,T,COP,2800,Java Programming,This is an intermediate level programming course using the Java computer language$ recommended for Computer Science and Computer Information systems majors. Students will learn to code$ compile$ and execute programs while learning advanced programming concepts and object oriented programming and design concepts and principles. Prerequisite: COP 1334. Laboratory fee. (3 hr. lecture; 2 hr. lab),T,4,4,0,S,U,Prerequisite: COP1334$ or COP2270.; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
52,11.01,T,T,COP,2822,Web Page Design And Programming,This is an intermediate level programming course that prepares students for web development. Students will learn client-side programming skills and technologies$ such as JavaScript$ XML$ and Ajax. Prerequisite: COP1332 or COP1334$ and CTS1800. Special fee. A.S. credit only. (3 hr. lecture; 2 hr. lab),T,4,4,0,S,U,Prerequisite: COP1332 or COP1334$ and CTS1800,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
53,32.01,T,T,CTS,1134,Networking Technologies,This course will provide an introduction to the technical areas of network connectivity$ data communications$ and communication protocols. Emphasis onunderstanding the foundation of networking techn ologies and data communication concepts. Topics covered will include an exploration of computer networking development$ the OSI reference model$ data signaling$ data translation$ standards for communications and data transmissions$ network topologiesand access methods. Laboratory fee. (3 hr. lecture; 2 hr. lab),T,4,4,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
54,32.01,T,T,CTS,2463,C# Web Application Development,This course is designed to provide AS degree students majoring in computer information technology$ database technology$ or Internet services technology with skills necessary for web-based programming.Students will learn C# programming for ASP.NET$ i ncluding database skills and problem-solving$ using modular design techniques. The skills developed in this class will help prepare students for MCTS certification. Prerequisites: COP 1332 or COP 1334. Laboratory fee.(3 hr. le cture; 2 hr. lab),T,4,4,0,S,U,Prerequisites: COP 1332 or COP 1334,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
55,42.01,T,T,DEP,2000,Human Growth And Development,This course examines the physical$ cognitive$ social and emotional development of human beings from conception to death. Students will learn about theories of development$ key issues in the field and apply research in developmental psychology throughout the prenatal$ infancy$ childhood$ adolescence and adulthood periods of the lifespan. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
56,23.01,T,T,EAP,1600,Speech/Listening Level 6,Students further develop communication skills necessary for full participation in mainstream college classrooms including comprehension of extensive discourse. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: Appropriate test scores and placement. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
57,23.01,T,T,EAP,1600L,Speech/Listening Level 6 Laboratory,Students further develop communication skills necessary for full participation in mainstream college classrooms including comprehension of extensive discourse. (2 hr. lab),T,1,1,0,S,U,Prerequisite: Appropriate test scores and placement. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
58,23.01,T,T,EAP,1620,Reading Level 6,Students develop the ability to comprehend and interpret authentic college-level text in content areas by applying appropriate reading strategies. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: Appropriate test scores and placement. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
59,23.01,T,T,EAP,1640,Writing Level 6,Students develop the ability to write a variety of college-level essays with sophistication$ fluency$ and accuracy and execute other academic writing tasks. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: Appropriate test scores and placement. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
60,23.01,T,T,EAP,1640L,Writing Level 6 Laboratory,Students further develop the ability to write a variety of college-level essays with sophistication$ fluency and accuracy$ and execute other academic writing tasks. (2-6 hr. lab),T,1,1,0,S,U,Prerequisite: Appropriate test scores and placement. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
61,23.01,T,T,EAP,1660,Grammar Level 6,Students develop the ability to use complex grammatical structure necessary for effective participation in mainstream college classes. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: Appropriate test scores and placement. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
62,52.06,T,T,ECO,2013,Principles Of Economics (Macro),An overview of the basic economic concepts and institutions. Students will learn the modern national income formation theory$ economic fluctuations$ money$ banking$ monetary and fiscal policy$ economic stabilization theory and policy$ the public sector$ theory of economic growth and development comparative economic systems. Fulfills Gordon Rule writing requirement. Special fee. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
63,52.06,T,T,ECO,2023,Principles Of Economics (Micro),Theory of markets$ price mechanism$ production$ distribution and resource allocation; application of marginal analysis and equilibrium theory to the price and output decisions of the individual firm in pure competition$ monopolistic competition$ oligopoly and monopoly; agriculture; labor$ rent interest and profits theory.  Prerequisite: MAT1033 or higher with a ?C? or higher. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: MAT1033 or higher with a ?C? or higher,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
65,13.04,T,T,EDF,1005,Introduction To The Teaching Profession,The student will learn the historical$ sociological$ and philosophical foundations of education$ governance$ finance$ policies$ legal$ moral and ethical issues$ and the professionalism of teaching. The student will develop an understanding of the Florida Educator Accomplished Practices$ standards$ and Professional Educator Competencies. Fifteen hours of service learning experience are required. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
66,13.04,T,T,EDF,2085,Introduction To Diversity,The student will learn about issues of diversity$ including understanding the influence of exceptionalities$ culture$ family$ gender$ sexual orientation$ socioeconomic status$ religion$ language$ race$ ethnicity$ and age upon the educational experience. The student will explore personal attitudes toward diversity and exceptionalities. Fifteen hours of service learning experience are required. ( 3 hr. lecture ),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
73,13.05,T,T,EME,2040,Introduction To Technology For Educators,The student will learn instructional design principles for the use of technology in teaching and learning. The student will participate in hands-on experiences with educational media$ emerging technologies$ hardware$ software$ and peripherals for the personal computer will be provided. The student will use data driven decision-making to identify appropriate software for classroom applications. Prerequisite: CGS1060 ( 3 hr. lecture ),T,3,3,0,S,U,Prerequisite: CGS1060; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
78,23.01,T,T,ENC,1101,English Composition 1,This is a required general education core course in college-level writing. The students will learn to compose essays and other works using various methods of development. This course fulfills the Gordon Rule writing requirement and must be completed with a grade C or better. Pre-requisite: Student must meet the Developmental Education reading and writing requirements in State Rule 6A-10.0315 (by course$ placement score$ or eligible exemption).,T,3,3,0,S,U,Prerequisite: The grade of ‘S’ in ENC0025 and/or REA0017 or appropriate placement test score. ; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
79,23.01,T,T,ENC,1102,English Composition 2,This is the second required general education core course in college-level writing. Students will learn the conventions of standard edited American English. Students will compose informative and persuasive essays$ write responses to a variety of literary genres$ and/or non-fiction$ and produce a documented paper based on research. This course fulfills the Gordon Rule requirement. Prerequisite: ENC1101. Special fee. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: ENC1101; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
80,23.01,T,T,ENC,2300,Advanced Composition And Communication,This writing-based course addresses techniques of critical thinking$ persuasion$ and argumentation. Students will refine their composition skills and develop their oral communication skills by examing and discussing a range of issues. Prerequisites: ENC1101$ 1102 or equivalent with a grade of C or better. Fulfills Gordon Rule writing requirement. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: ENC1101$ 1102 or equivalent with a grade of "C" or better.; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
82,52.08,T,T,FIN,2000,Principles Of Finance,The creation$ allocation$ and utilization of money$ and the effect of monetary policy upon individuals$ business$ national and international economics. This course provides a basis for further study of monetary theory$ banking$ finance and securities. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
83,52.08,T,T,FIN,2010,Investments In Stocks And Bonds,The basic principles of the stock market as they affect the individual investor in stocks and bonds. Investment in these securities is studied from the standpoint of the short-term and long-term investors. (3 hr. lecture),T,3,3,0,S,U,None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
84,52.08,T,T,FIN,2051,International Financial Management,The student will learn basic concepts and principles of international finance$ with consideration of the financial environment$ transactions$ and flows. Exchange rates$ risks$ and government policies affecting business are analyzed as well as management policies and decisions. Special fee. (3 hr.lecture),T,3,3,0,S,U,None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
85,52.08,T,T,FIN,2100,Personal Finance,A study of economic and personal goals including personal budgeting$ credit budgeting$ borrowing money$ banking facilities$ the nature of investments$ life insurance$ casualty insurance$ home ownership$ stocks and bonds$ and retirement plans. (1-3 hr. lecture),T,1,1,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
86,52.02,T,T,GEB,1011,Principles Of Business,The student will learn the major disciplines of business including general business$ business ethnics$ forms of business ownership$ economics$ management and leadership$ human relations marketing$ information systems$ accounting$ financial management$ money and banking$ and business law. Special fee. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
87,52.02,T,T,GEB,2112,Introduction To Entrepreneurship,Students will learn that start-ups are not smaller versions of big businesses. They are unique. This foundation course in business entrepreneurship covers the attributes of successful entrepreneurs$ opportunity identification$ opportunity analysis and development$ as well as an overview of the key activities and functions which start-ups must address. ( 3 hr. lecture ),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
88,52.02,T,T,GEB,2350,Introduction To International Business,Provides an overview of the cultural environment of international business and the institution which affects business today. International economic$ political$ and trade issues are analyzed in the context of socio-economic goals and policies of the nations involved. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
89,52.09,T,T,HFT,1000,Introduction To Hospitality,In this introductory course the student will learn a basic understanding of the lodging$ travel$ meeting planning$ club management$ food and beverage$ gaming and cruise industry by tracing the industry's growth and development$ reviewing the organization of hospitality operations$ and by focusing on industry opportunities and future trends. Career opportunities$ interview and resume writing skills are discussed.,T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
90,52.09,T,T,HFT,1210,Human Resources,Provides information relating to the recruitment and selection of new staff$ the handling of difficult employees$ motivating employees and conducting performance evaluations. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
91,52.09,T,T,HFT,2500,Marketing Of Hospitality Services,In this itermediary course the students will learn basic knowledge and practical experience which will enable them to develop strategic marketing plans for any hospitality business. Special focus on the marketing mix as it applies to hospitality. Marketing trends and case studies are discussed. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
92,52.09,T,T,HFT,2800,Food And Beverage Management,Provides a basic understanding of the principles of food production and service management$ menu planning$ serving$ purchasing$ labor$ food/bar service and costs$ storage$ beverage management$ sales promotions$ entertainment$ and liability laws. (3 hr. lecture),T,3,3,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
95,51.07,T,T,HIM,1000,Introduction To Health Information Technology,This course examines the role and functions of a health information technician. Students will learn about the structure$ organization$ and maintenance of the medical record. Students will also learn about the organization and function of various types of health care facilities$ the responsibilities of national$ state and local health agencies$ and the organization and mission of the American Health Information Management Association. (2 hr. lecture),T,2,2,0,S,U,Prerequisite: None; Corequisite:  None,EnrollProcedure,T,T,T,www.mdc.edu/admissions/ ,F
